Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
178812	Машинка отрезная Kamasa-Tools, K 9813	ПП.ИН	K 9813	Ин		1,00	0,00	1,00
178850	Стремянка 9 ступеней стальная, ДЛЯ ОБСЛУГИ ОСК КУЗОВНОГО ЦЕХА, M8410	ПП.ИН	M8410	Цех		1,00	0,00	1,00
178851	Кувалда 4 кг. с фиброглассовой ручкой, FIT 45232	ПП.ИН	FIT 45232	Ин		1,00	0,00	1,00
178862	Пневмозубило BNV116H-EU, 013438692	ПП.ИН	BNV116H-EU	Ин		2,00	0,00	2,00
178864	Машина шлифовальная пневмотическая 317A, Ingersoll Rand, 80090863	ПП.ИН	317A	Ин		3,00	0,00	3,00
178866	Машинка зачистная пневматическая 307B-EU, 48488316	ПП.ИН	307B-EU	Цех		2,00	0,00	2,00
178867	Пневмодрель, Ingersoll-Rand, 7802RAKC, 80147424	ПП.ИН	7802RAKC	Ин		1,00	0,00	1,00
178867	Пневмодрель, Ingersoll-Rand, 7802RAKC, 80147424	ПП.ИН	7802RAKC	Цех		1,00	0,00	1,00
178871	Шлифок  мягкий, 125х70 мм., 05442	ПП.ИН	05442	Ин		1,00	0,00	1,00
178871	Шлифок  мягкий, 125х70 мм., 05442	ПП.ИН	05442	ИнБр		1,00	0,00	1,00
178871	Шлифок  мягкий, 125х70 мм., 05442	ПП.ИН	05442	Цех		2,00	0,00	2,00
178872	Пистолет для герметика пневматический, 08012	ПП.ИН	08012	Ин		1,00	0,00	1,00
178872	Пистолет для герметика пневматический, 08012	ПП.ИН	08012	Цех		2,00	0,00	2,00
178897	Наконечник для клещей D=20мм, 5210/C	ПП.ЗЧ	5210/C	Ин		8,00	0,00	8,00
1789056F	Бачок расширительный гидроусилителя руля	FO.ЗЧ	1789056	2		1,00	0,00	1,00
178949	Набор рихтовочного инструмента молотков и поддержек 7 пр. King Tony, 9CF-107	ПП.ИН	9CF-107	Ин		1,00	0,00	1,00
178949	Набор рихтовочного инструмента молотков и поддержек 7 пр. King Tony, 9CF-107	ПП.ИН	9CF-107	Цех		1,00	0,00	1,00
178950	Стол складной для работы с лобовым стеклом, МАСТАК, 107-00110	ПП.ИН	107-00110	Цех		1,00	0,00	1,00
178951	Держатель вакуумный металлический для стекол одинарный, МАСТАК, 107-01050	ПП.ИН	107-01050	Ин		2,00	0,00	2,00
178955	"Куртка утепленная зимняя ""SEAT"" размер 48-50 рост 170-176"	ПП.СО	Куртка утепленная зи	Цех		1,00	0,00	1,00
178957	"Куртка утепленная зимняя ""SEAT"" размер 52-54 рост 182-188"	ПП.СО	Куртка утепленная зи	Цех		1,00	0,00	1,00
1789645F	ДЕТАЛЬ FORD	FO.ЗЧ	1789645	2		1,00	0,00	1,00
1790199F	Масло трансмиссионное, 1L (WSS-M2C200-D2) (12)	FO.ЗЧ	1790199	1		16,80	0,00	16,80
1790221F	Диск тормозной передний, Focus	FO.ЗЧ	1790221	2		8,00	0,00	8,00
179118	Накладка резиновая армир для подъемника, 1038K	ПП.ЗЧ	1038K	Ин		8,00	0,00	8,00
179118	Накладка резиновая армир для подъемника, 1038K	ПП.ЗЧ	1038K	ИнБр		4,00	0,00	4,00
1791580F	Насос омывателя стекол	FO.ЗЧ	1791580	2		1,00	0,00	1,00
1791581F	Насос омывателя стекол	FO.ЗЧ	1791581	2		1,00	0,00	1,00
179181	Специнструмент Форд: 205-142, Съемник	ПП.ИН	205-142	Ин		1,00	0,00	1,00
179196	"Головка 1/2"" 19мм 12гр King Tony, 433019M"	ПП.ИН	433019M	Ин		10,00	0,00	10,00
179259	Тестер тормозной жидкости BFT 28	ПП.ИН	BFT 28	ИнБр		2,00	0,00	2,00
1792605F	ДЕТАЛЬ FORD	FO.ЗЧ	1792605	2		1,00	0,00	1,00
179285	Регулятор давления M-004-R00	ПП.ЗЧ	M-004-R00	ИнБр		2,00	0,00	2,00
179286	Манометр ДМ 02-63-1 Г	ПП.ЗЧ	ДМ 02-63-1 Г	ИнБр		2,00	0,00	2,00
179294	Специнструмент Форд: 310-123, Ключ для стопорных колец	ПП.ИН	310-123	Ин		1,00	0,00	1,00
179295	Специнструмент Форд: 303-1554-04, Насадка для 303-1554	ПП.ИН	303-1554-04	Ин		1,00	0,00	1,00
179297	Специнструмент Форд: 204-020, Съемник	ПП.ИН	204-020	Ин		1,00	0,00	1,00
179298	Специнструмент Форд: 205-147, Съемник подшипников	ПП.ИН	205-147	Ин		1,00	0,00	1,00
179299	Специнструмент Форд: 205-117, Съемник подшипников	ПП.ИН	205-117	Ин		1,00	0,00	1,00
179300	Специнструмент Форд: 501-193, Штамповочный инструмент для датчика парковки	ПП.ИН	501-193	Ин		1,00	0,00	1,00
1793301F	Петля крышки багажника (правая)	FO.ЗЧ	1793301	2		1,00	1,00	0,00
1793886F	ДЕТАЛЬ FORD	FO.ЗЧ	1793886	2		1,00	0,00	1,00
179389	Стремянка Krause SOLIDO  7 ступеней 126665, 15044105	ПП.ИН	126665, 15044105	2		1,00	0,00	1,00
179411	Пневмоустановка для подачи масла 30л. HG-5330	ПП.ИН	HG-5330	Цех		1,00	0,00	1,00
1794522F	ДЕТАЛЬ FORD	FO.ЗЧ	1794522	2		1,00	0,00	1,00
179536	Станция насосная для перекач ГСМ (насос НШ-10-У3 + двиг АИР 80А2 У S/N: 3328222)	ПП.ИН	3328222	Ин		1,00	0,00	1,00
179570	Держатель, 307-346	ПП.ИН	307-346	Ин		1,00	0,00	1,00
179571	Съемник ударный, 307-005	ПП.ИН	307-005	Ин		1,00	0,00	1,00
179572	Приспособление регулировочное, 307-399	ПП.ИН	307-399	Ин		1,00	0,00	1,00
179573	Устройство установочное, 307-541	ПП.ИН	307-541	Ин		1,00	0,00	1,00
179574	Съемник, 307-569	ПП.ИН	307-569	Ин		1,00	0,00	1,00
179575	Съемник муфты компрессора, 307-574	ПП.ИН	307-574	Ин		1,00	0,00	1,00
179576	Устройство установочное, 307-575	ПП.ИН	307-575	Ин		1,00	0,00	1,00
179577	Установщик подшипника, 307-576	ПП.ИН	307-576	Ин		1,00	0,00	1,00
179578	Съемник подшипника, 307-577	ПП.ИН	307-576	Ин		1,00	0,00	1,00
179579	Специнструмент Форд, 307-578	ПП.ИН	307-578	Ин		1,00	0,00	1,00
179580	Приспособление для установки сальника, 307-579	ПП.ИН	307-579	Ин		1,00	0,00	1,00
179581	Приспособление зажимное для трансиссии, 307-580	ПП.ИН	307-580	Ин		1,00	0,00	1,00
179582	Устройство установочное, 307-581	ПП.ИН	307-581	Ин		1,00	0,00	1,00
179583	Инструмент, 307-582A	ПП.ИН	307-582A	Ин		1,00	0,00	1,00
179584	Устройство установочное, 307-583	ПП.ИН	307-583	Ин		1,00	0,00	1,00
179585	Устройство установочное, 307-584	ПП.ИН	307-584	Ин		1,00	0,00	1,00
179586	Специнструмент Форд, 307-585	ПП.ИН	307-585	Ин		1,00	0,00	1,00
179587	Съемник подшипника, 307-586	ПП.ИН	307-586	Ин		1,00	0,00	1,00
1795871F	Кольцо уплотнительное (10)	FO.ЗЧ	1795871	2		6,00	0,00	6,00
179588	Съемник подшипника, 307-587	ПП.ИН	307-587	Ин		1,00	0,00	1,00
179589	Приспособление для регулировки сцепления, 307-588	ПП.ИН	307-588	Ин		1,00	0,00	1,00
1795897F	Свеча зажигания 1.6L/1.8L/2.0L, Ford (200) ->	FO.ЗЧ	1795897	2		1,00	0,00	1,00
179590	Приспособление для регулировки сцепления, 307-589	ПП.ИН	307-589	Ин		1,00	0,00	1,00
179591	Специнструмент Форд, 307-591	ПП.ИН	307-591	Ин		1,00	0,00	1,00
179592	Специнструмент Форд, 307-592	ПП.ИН	307-592	Ин		1,00	0,00	1,00
1796001F	Подшипник ступицы передней (ремкомплект)	FO.ЗЧ	1796001	2		3,00	0,00	3,00
179612	Зонт-трость полуавтоматический Ford, 34239240	FO.АКС.ЛОК	34239240	Вт		1,00	0,00	1,00
1796141F	Крышка багажника	FO.ЗЧ	1796141	2		1,00	1,00	0,00
179626	Лампа галогеновая 12V Н7 55W Philips BlueVision (2 шт./к-кт)	ЗЧО.ЛМ	Лампа галогеновая 12	2		3,00	0,00	3,00
1796560F	молдинг лобового стекла правый	FO.ЗЧ	1796560	2		1,00	0,00	1,00
1796561F	Молдинг лобового стекла левый focus III	FO.ЗЧ	1796561	2		2,00	0,00	2,00
1797211F	Колодки тормозные передние Kuga 2013-	FO.ЗЧ	1797211	2		4,00	0,00	4,00
179783	Автомобильный гаджет Ford 4 в 1  34004869	FO.АКС.ЛОК	34004869	4		1,00	0,00	1,00
179783	Автомобильный гаджет Ford 4 в 1  34004869	FO.АКС.ЛОК	34004869	Вт		1,00	0,00	1,00
179878	Конус под Газель 122-174мм. с проставкой для балансировочного станка, 150 400 091	ПП.ИН	150 400 091	Ин		1,00	0,00	1,00
1798977F	Брызговички задние,5D Focus 2011	FO.АКС	1798977	2		2,00	0,00	2,00
179940	"Гайковерт 1/2"" 950Нм пневматический ударный Rodcraft, 2257, 8951000037"	ПП.ИН	2257, 8951000037	Цех		2,00	0,00	2,00
179941	"Пневмотрещотка 3/8"" Rodcraft, 3005, 8951078042"	ПП.ИН	3005 8951078042	ИнБр		2,00	0,00	2,00
179941	"Пневмотрещотка 3/8"" Rodcraft, 3005, 8951078042"	ПП.ИН	3005 8951078042	Цех		3,00	0,00	3,00
1799610F	Подкрылок передний правый	FO.ЗЧ	1799610	2		1,00	1,00	0,00
1799926F	Крыло заднее правое (малое)	FO.ЗЧ	1799926	Бр		1,00	0,00	1,00
180006	Набор съемников подшипников гидравлический 3-в-1 усилие 10 тонн Мастак 104-19010C	ПП.ИН	104-19010C	Ин		1,00	0,00	1,00
180007	Ремкомплект для ремонта съемника гидравлческого 104-19010C сальники №6 и №7 Мастак 104-19010R	ПП.ЗЧ	104-19010R	Ин		1,00	0,00	1,00
180008	Стойка телескопическая трансмиссионная двухступенчатая, 800 кг. 712-00800	ПП.ИН	712-00800	Цех		1,00	0,00	1,00
1800160F	Брызговички передние Kuga new	FO.АКС	1800160	2		3,00	0,00	3,00
1800240F	набивка анти-скрипа	FO.ЗЧ	1800240	2		2,00	0,00	2,00
1801660F	Зажим возвратной топливной магистрали (10)	FO.ЗЧ	1801660	2		12,00	4,00	8,00
1802052F	Фильтр топливный	FO.ЗЧ	1802052	2		5,00	0,00	5,00
1802090F	СВЕЧА ЗАЖИГАНИЯ,  FORD (10)	FO.ЗЧ.AM	1802090	2		10,00	0,00	10,00
1802375F	Поперечины крыши (багажник) Kuga 2013-	FO.АКС	1802375	Вт		1,00	0,00	1,00
180283	Футляр для визиток Ford из натур кожи 39300211	FO.АКС.ЛОК	39300211	Вт		1,00	0,00	1,00
180286	Автомобильное зарядное устройство Ford 34535560	FO.АКС.ЛОК	34535560	Вт		1,00	0,00	1,00
180291	Кружка FORD 34004662	FO.АКС.ЛОК	34004662	4		2,00	1,00	1,00
180291	Кружка FORD 34004662	FO.АКС.ЛОК	34004662	Вт		1,00	0,00	1,00
180294	Термос Ford 34005620	FO.АКС.ЛОК	34005620	Вт		1,00	0,00	1,00
180295	Футболка женская Ford 39300200	FO.АКС.ЛОК	39300200	Вт		2,00	0,00	2,00
1803059F	ФИЛЬТР ВОЗДУШНЫЙ 1,6	FO.ЗЧ	1803059	2		7,00	0,00	7,00
180527	Приспособление для установки заднего уплотнения ко, 303-440	ПП.ИН	303-440	Ин		1,00	0,00	1,00
1805394F	Фара	FO.ЗЧ	1805394	2		1,00	0,00	1,00
1805407F	Накладка (водосток) ветрового стекла	FO.ЗЧ	1805407	Бр		1,00	0,00	1,00
1805434F	Гайка ступицы	FO.ЗЧ	1805434	2		8,00	2,00	6,00
1805715F	Масляное уплотнение полуоси (10)	FO.ЗЧ	1805715	2		7,00	0,00	7,00
180576	"Шина ""Nokian"" 205/55/16 NORDMAN 5 94T XL шип."	ШИНЫ.гр1	205/55/16	3		8,00	0,00	8,00
1805856F	Масло АКПП, Ford 1L.	FO.ЗЧ	1805856	1		14,00	0,00	14,00
1806039F	Задний фонарь	FO.ЗЧ	1806039	Бр		1,00	0,00	1,00
1807415F	Блок АБС	FO.ЗЧ	1807415	Бр		1,00	0,00	1,00
1807516F	Фильтр масляный 1,8 дизель, Ford	FO.ЗЧ	1807516	2		7,00	0,00	7,00
1808479F	Диск тормозной Fusion	FO.ЗЧ	1808479	2		2,00	0,00	2,00
1808534F	ДЕТАЛЬ FORD	FO.ЗЧ.AM	1808534	2		4,00	0,00	4,00
180878	"TORX T60 на голове 1/2"" L=60 мм  King Tony, 402360"	ПП.ИН	402360	Ин		4,00	0,00	4,00
180878	"TORX T60 на голове 1/2"" L=60 мм  King Tony, 402360"	ПП.ИН	402360	Цех		1,00	0,00	1,00
1809109F	Колпак колеса	FO.АКС	1809109	2		2,00	0,00	2,00
1809110F	Багажник крыши Mondeo	FO.АКС	1809110	Вт		1,00	0,00	1,00
1809256F	Колодки тормозные перед Focus/C-Max	FO.ЗЧ	1809256	2		4,00	0,00	4,00
1809256F	Колодки тормозные перед Focus/C-Max	FO.ЗЧ	1809256	Вт		1,00	0,00	1,00
1809259F	Колодки тормозные задние Focus 2008-2011   >	FO.ЗЧ	1809259	2		5,00	0,00	5,00
1809458F	Колодки тормозные задние, дисковые Focus	FO.ЗЧ	1809458	2		5,00	1,00	4,00
180959	Ключ в сборе с иммобилайзером SY 7106021410	SY.ЗЧ	7106021410	2		1,00	0,00	1,00
1810012F	ДЕТАЛЬ FORD	FO.ЗЧ	1810012	2		1,00	0,00	1,00
1810326F	ДЕТАЛЬ FORD	FO.ЗЧ	1810326	2		1,00	0,00	1,00
181033	"Головка 1/2"" 17мм 12 гр KingTony, 433017M"	ПП.ИН	433017M	Ин		10,00	0,00	10,00
181064	Крышка багажника Kia Sorento (без спойлера) 737002P520	KIA.ЗЧ.КУЗ	737002P520	2		1,00	1,00	0,00
181072	Пистолет обдувочный носик 150 мм., обрезанная рукоятка, 50066 PA/6L	ПП.ИН	50066 PA/6L	Ин		2,00	0,00	2,00
181075	"Трещотка 3/8"" 45 зубцов МАСТАК, 010-31408H"	ПП.ИН	010-31408H	Ин		4,00	0,00	4,00
1810822F	Видео-регистратор ParkCity DVR HD 560	FO.АКС	1810822	Бр		1,00	0,00	1,00
1811013F	комплект форсунок	FO.ЗЧ	1811013	2		1,00	0,00	1,00
1811054F	Стекло ветрового окна	FO.ЗЧ	1811054	Бр		1,00	0,00	1,00
181106	Специнструмент Форд: 310-129-07, Специнструмент	ПП.ИН	310-129-07	Ин		1,00	0,00	1,00
181107	Специнструмент Форд: 303-1416, Специнструмент	ПП.ИН	303-1416	Ин		1,00	0,00	1,00
181125	Ареометр для электролита, 19992110	ПП.ИН	19992110	ИнБр		1,00	0,00	1,00
181126	Термометр инфакрасный MS 6520B	ПП.ИН	MS 6520B	Ин		1,00	0,00	1,00
181134	Инструмент для монтажа датчика парковки, 501-179	ПП.ИН	501-179	Ин		1,00	0,00	1,00
181135	Приспособление для установки датчиков, 501-180 spx	ПП.ИН	501-180 spx	Ин		1,00	0,00	1,00
1811604F	ДЕТАЛЬ FORD	FO.ЗЧ	1811604	2		1,00	0,00	1,00
1811812F	ДЕТАЛЬ FORD	FO.ЗЧ	1811812	2		4,00	0,00	4,00
1811940F	Опора двигателя правая	FO.ЗЧ	1811940	2		1,00	0,00	1,00
181253	Переходник к окрасочным пистолетам Sata QCC 2000, 3000-Тип40, PN50573	ПП.ЗЧ	PN50573	Лаб		2,00	0,00	2,00
1812679F	Фильтр Салона TRANSIT Custom	FO.ЗЧ	1812679	2		7,00	0,00	7,00
181339	Накладка пластиковая на отжимную лопатку Ш/М станка Monty C26582	ПП.ЗЧ	C26582	Ин		1,00	0,00	1,00
1814315F	СТОЙКА СТАБ.  >	FO.ЗЧ	1814315	2		1,00	0,00	1,00
1815030F	Дефлекторы окон (передние тёмные) Kuga 2013-	FO.АКС	1815030	Бр		1,00	0,00	1,00
1815275F	ДЕТАЛЬ FORD	FO.ЗЧ	1815275	2		1,00	0,00	1,00
1815600F	Диск тормозной	FO.ЗЧ	1815600	2		2,00	0,00	2,00
1815863F	ДЕТАЛЬ FORD	FO.ЗЧ	1815863	2		1,00	0,00	1,00
181634	"Головка 1/2"" 19мм ударн удлин тонк пластик защит King Tony, 494519MX"	ПП.ИН	494519MX	ИнБр		25,00	0,00	25,00
1816698F	"Диск легкосплавный (7.5x17"") , FORD"	FO.АКС	1816698	Бр		1,00	0,00	1,00
181717	"Головка 1/2"" 19мм ударн с защитным покрытием Kamasa, K8819"	ПП.ИН	K8819	ИнБр		2,00	0,00	2,00
181719	Съёмник рычагов стеклоочистителя Kamasa, K10175	ПП.ИН	K10175	Ин		1,00	0,00	1,00
1817383F	Переходник	FO.АКС	1817383	Вт		1,00	0,00	1,00
1817596F	Главный цилиндр сцепления	FO.ЗЧ	1817596	2		1,00	0,00	1,00
1817685F	ДЕТАЛЬ FORD	FO.ЗЧ	1817685	2		1,00	0,00	1,00
1817686F	ДЕТАЛЬ FORD	FO.ЗЧ	1817686	2		1,00	0,00	1,00
1817754F	ДЕТАЛЬ FORD	FO.ЗЧ	1817754	2		1,00	0,00	1,00
181779	Пневмошприц для смазки 6пр. PAE-10005	ПП.ИН	PAE-10005	Ин		1,00	0,00	1,00
181780	Набор отверток длина 400 мм. 4 предмета Kamasa K 63032	ПП.ИН	K 63032	Ин		12,00	0,00	12,00
181792	"Головка 1/2"" 13мм ударн King Tony, 453513M"	ПП.ИН	453513M	Ин		3,00	0,00	3,00
181794	"Головка 1/2"" 19мм ударн King Tony, 453519M"	ПП.ИН	453519M	Ин		14,00	0,00	14,00
181794	"Головка 1/2"" 19мм ударн King Tony, 453519M"	ПП.ИН	453519M	ИнБр		3,00	0,00	3,00
181794	"Головка 1/2"" 19мм ударн King Tony, 453519M"	ПП.ИН	453519M	Цех		3,00	0,00	3,00
181804	"Бита 1/4"" шлиц 8х1,6 King Tony, 102508S2"	ПП.ИН	102508S2	Ин		10,00	0,00	10,00
181817	"Надпись  ""CERATO""  86311A7030"	KIA.ЗЧ.КУЗ	86311A7030	2		1,00	1,00	0,00
1818170F	Ручка двери наружняя	FO.ЗЧ	1818170	2		1,00	0,00	1,00
181818	Задняя панель KIA CERATO 69100A7000	KIA.ЗЧ.КУЗ	69100A7000	2		1,00	1,00	0,00
181819	Усилитель занего бампера KIA CERATO 86631A7000	KIA.ЗЧ.КУЗ	86631A7000	2		1,00	1,00	0,00
181829	Уплотнитель проёма багажника Kia Cerato 87321A7000	KIA.ЗЧ.КУЗ	87321A7000	2		1,00	1,00	0,00
1818708F	ДЕТАЛЬ FORD	FO.ЗЧ	1818708	2		1,00	0,00	1,00
1818934F	Вал переднего моста	FO.ЗЧ	1818934	2		1,00	0,00	1,00
181900	Датчик парковочный ParkCity White	ДОП.РАД	Датчик парковочный P	Вт		4,00	0,00	4,00
181901	Датчик парковочный ParkCity Dark Grey (S011/20)	ДОП.РАД	S011/20	Вт		11,00	0,00	11,00
181903	Датчик парковочный ParkCity Dark Gold	ДОП.РАД	Датчик парковочный P	Вт		6,00	0,00	6,00
181904	Датчик парковочный ParkCity Red	ДОП.РАД	Датчик парковочный P	4		1,00	0,00	1,00
1819380F	Сигнализация PANDORA DXL 4500	FO.АКС	1819380	4		1,00	0,00	1,00
181945	Микрометр гладкий МК-75 50-75мм. (0,001) электронный (Г.Т.О.) 48663	ПП.ИН	48663	Ин		1,00	0,00	1,00
181946	"Микрометр гладкий МК-100 75-100мм. (0,001) тв. сплав ""CNIC"" (400-520) 23456"	ПП.ИН	23456	Ин		1,00	0,00	1,00
1819638F	Колодки тормозные	FO.ЗЧ	1819638	2		4,00	1,00	3,00
181967	"Куртка костюма механика ""FORD"" размер 52-54 рост 170-176"	ПП.СО	Куртка костюма механ	Ин		5,00	0,00	5,00
181967	"Куртка костюма механика ""FORD"" размер 52-54 рост 170-176"	ПП.СО	Куртка костюма механ	Цех		8,00	0,00	8,00
181968	"Полукомбинезон костюма механика ""FORD"" размер 52-54 рост 170-176"	ПП.СО	Полукомбинезон костю	Цех		11,00	0,00	11,00
181969	"Куртка костюма механика ""FORD"" размер 56-58 рост 170-176"	ПП.СО	Куртка костюма механ	Ин		2,00	0,00	2,00
181969	"Куртка костюма механика ""FORD"" размер 56-58 рост 170-176"	ПП.СО	Куртка костюма механ	Цех		1,00	0,00	1,00
181970	"Полукомбинезон костюма механика ""FORD"" размер 56-58 рост 170-176"	ПП.СО	Полукомбинезон костю	Цех		2,00	0,00	2,00
181971	"Куртка костюма механика ""FORD"" размер 56-58 рост 182-188"	ПП.СО	Куртка костюма механ	Ин		3,00	0,00	3,00
181971	"Куртка костюма механика ""FORD"" размер 56-58 рост 182-188"	ПП.СО	Куртка костюма механ	Цех		1,00	0,00	1,00
181972	"Полукомбинезон костюма механика ""FORD"" размер 56-58 рост 182-188"	ПП.СО	Полукомбинезон костю	Ин		2,00	0,00	2,00
181972	"Полукомбинезон костюма механика ""FORD"" размер 56-58 рост 182-188"	ПП.СО	Полукомбинезон костю	Цех		2,00	0,00	2,00
181994	"Насадка для нанесения герметика ""бабочка"" 7101-839612"	МЛ.РСХ.ЗЧ	7101-839612	2		6,00	0,00	6,00
181997	Инструмент демонтажный, 308-782	ПП.ИН	308-782	Ин		1,00	0,00	1,00
181999	Ключ, 308-691	ПП.ИН	308-691	Ин		1,00	0,00	1,00
182000	Инструмент, 308-710	ПП.ИН	308-710	Ин		1,00	0,00	1,00
182004	Съемник, 308-750	ПП.ИН	308-750	Ин		1,00	0,00	1,00
182005	Специнструмент Форд: 310-128, комплект для установки тефлонового уплотнительного ......	ПП.ИН	310-128	Ин		1,00	0,00	1,00
182006	Специнструмент, 308-766	ПП.ИН	308-766	Ин		1,00	0,00	1,00
182007	Специнструмент, 308-768	ПП.ИН	308-768	Ин		1,00	0,00	1,00
182010	Специнструмент, 308-769	ПП.ИН	308-769	Ин		1,00	0,00	1,00
182011	Специнструмент, 308-776	ПП.ИН	308-776	Ин		1,00	0,00	1,00
182012	Кронштейн, 308-920	ПП.ИН	308-920	Ин		1,00	0,00	1,00
182013	Адаптер для 310-129, 310-129-02	ПП.ИН	310-129-02	Ин		1,00	0,00	1,00
182014	Специнструмент, 205-1012	ПП.ИН	205-1012	Ин		1,00	0,00	1,00
182015	Съемник, 204-015	ПП.ИН	204-015	Ин		1,00	0,00	1,00
182016	Приспособление для установки, 204-325	ПП.ИН	204-325	Ин		1,00	0,00	1,00
182017	Приспособление для установки уплотнения, 205-178	ПП.ИН	205-178	Ин		1,00	0,00	1,00
182018	Приспособление для снятия/установки сальников, 205-255	ПП.ИН	205-255	Ин		1,00	0,00	1,00
182019	Переходник для 308-072, 308-072-01	ПП.ИН	308-072-01	Ин		1,00	0,00	1,00
182020	Инструмент монтажный/центрирующий, 303-081	ПП.ИН	303-081	Ин		1,00	0,00	1,00
182021	Переходник для компрессометра, 303-1051	ПП.ИН	303-1051	Ин		1,00	0,00	1,00
182022	Инструмент, 303-1176	ПП.ИН	303-1176	Ин		1,00	0,00	1,00
182023	Съемник, 303-1288	ПП.ИН	303-1288	Ин		1,00	0,00	1,00
182024	Специнструмент, 303-1521	ПП.ИН	303-1521	Ин		1,00	0,00	1,00
182025	Адаптер для 303-1554, 303-1554-03	ПП.ИН	303-1554-03	Ин		1,00	0,00	1,00
182026	Приспособление для установки уплотнения, 308-113	ПП.ИН	308-113	Ин		1,00	0,00	1,00
182027	Съемник, 308-651	ПП.ИН	308-651	Ин		1,00	0,00	1,00
182028	Муфта монтажного инструмента, 308-763	ПП.ИН	308-763	Ин		1,00	0,00	1,00
182029	Специнструмент, 308-764	ПП.ИН	308-764	Ин		1,00	0,00	1,00
182030	Инструмент монтажный, 308-783	ПП.ИН	308-783	Ин		1,00	0,00	1,00
182031	Шестерня ведущая коническая, 205-930	ПП.ИН	205-930	Ин		1,00	0,00	1,00
182032	Приспособление для установки сальников, 308-823	ПП.ИН	308-823	Ин		1,00	0,00	1,00
182033	Съемник сальников, 308-824	ПП.ИН	308-824	Ин		1,00	0,00	1,00
182034	Приспособление для установки подшипника, 204-285	ПП.ИН	204-285	Ин		1,00	0,00	1,00
182035	Приспособление для установки уплотнения, 205-046	ПП.ИН	205-046	Ин		1,00	0,00	1,00
182036	Приспособление для установки подшипника, 205-052	ПП.ИН	205-052	Ин		1,00	0,00	1,00
182038	Переходник для опрессовки системы, 303-396-08	ПП.ИН	303-396-08	Ин		1,00	0,00	1,00
182039	Приспособление для установки сальника, 307-032A	ПП.ИН	307-032A	Ин		1,00	0,00	1,00
182040	Переходник для 308-110 (пластина), 308-110-01	ПП.ИН	308-110-01	Ин		1,00	0,00	1,00
182090	Пластиковая вставка монтажной головки C0011064	ПП.ЗЧ	C0011064	Ин		5,00	0,00	5,00
182091	Пластиковая накладка на зажимные кулачки для 3300 rasing/GP3550GP (короткие) C4027645	ПП.ЗЧ	C4027645	Ин		1,00	0,00	1,00
182187	Комплекс обхода иммобилайзера Ford Kuga ST-KOI-FRKG	ДОП.ПТУ	ST-KOI-FRKG	4		2,00	0,00	2,00
182188	Комплекс обхода иммобилайзера Ford/Mazda ST-KOI-FRMZ	ДОП.ПТУ	ST-KOI-FRMZ	2		2,00	0,00	2,00
1822205F	Ротор (2)	FO.ЗЧ	1822205	2		2,00	0,00	2,00
1824346F	Колодки Transit передние тормозные  Motorcraft эконом	FO.ЗЧ	1824346	2		4,00	0,00	4,00
1824347F	КОМП. ТОРМ.КОЛ.  FORD	FO.ЗЧ	1824347	2		2,00	0,00	2,00
1824713F	БЛОК УПРАВЛЕНИЯ, FORD	FO.ЗЧ	1824713	2		1,00	0,00	1,00
182485	"Головка 1/2"" 15мм King Tony, 433515M"	ПП.ИН	433515M	Ин		10,00	0,00	10,00
182545	Специнструмент Форд, 307-718	ПП.ИН	307-718	Ин		1,00	0,00	1,00
182547	Специнструмент Форд, 308-931	ПП.ИН	308-931	Ин		1,00	0,00	1,00
182549	Специнструмент Форд, 308-932	ПП.ИН	308-932	Ин		1,00	0,00	1,00
182627	Шайба распорная D 78.8мм, 308-933	ПП.ИН	308-933	Ин		1,00	0,00	1,00
182673	Термохолодильник переносной PM5007	ДОП.ОБЩ.ЭЛ	PM5007	2		1,00	0,00	1,00
182686	Шуруповерт аккумуляторный Hitachi, DS12DVF3 13645138	ПП.ИН	13645138	Цех		1,00	0,00	1,00
182775	Зонт автоматический Ford Oval, 35020587	FO.АКС.ЛОК	35020587	Вт		1,00	0,00	1,00
182813	Компрессор малый L30P 310 л/мин 50 л. 10бар. 2,2 кВт ABAC Montecarlo 4116023469 s/n: 73A0070ATL	ПП.ИН	4116023469	Цех		1,00	0,00	1,00
182821	Шестигранник г-обр 17мм удлин King Tony, 112517M	ПП.ИН	112517M	Ин		3,00	0,00	3,00
182822	"Головка 1/2"" 32 мм. глубокая King Tony, 423032M"	ПП.ИН	423032M	Ин		3,00	0,00	3,00
182841	Адаптер для 205-870, 205-870-01	ПП.ИН	205-870-01	Ин		1,00	0,00	1,00
182842	Специнструмент Форд, 303-699KIT	ПП.ИН	303-699KIT	Ин		1,00	0,00	1,00
182843	Съемник топливных форсунок, 310-086	ПП.ИН	310-086	Ин		1,00	0,00	1,00
182844	Инструмент штамповочный для датчика, 501-192	ПП.ИН	501-192	Ин		1,00	0,00	1,00
182845	Ключ торцовый гаечный для гаек оси, 205-1007	ПП.ИН	205-1007	Ин		1,00	0,00	1,00
182846	Съемник, 204-817	ПП.ИН	204-817	Ин		1,00	0,00	1,00
1829099F	Клипса	FO.ЗЧ	1829099	2		3,00	0,00	3,00
1829195F	Ремень приводной (комплект)	FO.ЗЧ	1829195	2		1,00	0,00	1,00
